"area","epiweek","date","Ratio","omicron_Rt","delta_Rt","delta_cases","omicron_cases","omicron_proportion","temperature","relative_humidity","specific_humidity","uv","precipitation","Pop_density","Population","first_dose","second_dose","third_dose","full_vax_rate","stringency","gov_response","containment_health","economic_support"
"Dorset",48,2021-12-01,7.98374422126812,4.26717690799924,0.558700606549655,888,5,0.00559910414333707,6.4901066167014,82.8329533168248,0.00499863014556468,15384.1314174107,7.88529537284636e-05,290.132537841797,773839,615443,572568,271629,0.351014875187216,23.15,34.9,36.31,25
"Dorset",49,2021-12-08,8.54463564373367,2.33356909109274,0.267882208616609,804,76,0.0863636363636364,7.87787546430315,80.3468202863421,0.00527669589168259,9595.91081891741,0.000152034119992095,290.132537841797,773839,617163,574857,315031,0.407101477180654,23.15,34.9,36.31,25
"Dorset",50,2021-12-15,3.11403763781141,0.583334563496393,0.183118574965115,529,461,0.465656565656566,8.20327615737915,91.5082484654018,0.00624862712408815,10246.1457170759,8.35902788561985e-06,290.132537841797,773839,619451,578215,386032,0.49885312061036,35.45,41.8157142857143,44.2185714285714,25
"East London Health and Care Partnership",47,2021-11-24,7.44442573440379,6.66177683203385,1.34798692203963,249,6,0.0235294117647059,4.39472854137421,81.2859856741769,0.00422211024644119,15415.1148856027,3.89552672329176e-05,3436.615234375,2023383,1323762,1186650,306474,0.151466133697871,23.15,34.3357142857143,35.6742857142857,25
"East London Health and Care Partnership",48,2021-12-01,6.93282600563589,4.22419257146345,0.610145577336396,2150,129,0.0566037735849057,5.35694778817041,84.8835394723075,0.0047536730167589,12028.0219726562,7.15095454454838e-05,3436.615234375,2023383,1330833,1195140,356941,0.176408025569059,23.15,34.9,36.31,25
"East London Health and Care Partnership",49,2021-12-08,3.35439599110545,1.38955406379912,0.401465634964431,2305,1592,0.408519373877342,6.49598264694214,84.015020098005,0.00500136693673474,10335.9428710938,0.000173647161448441,3436.615234375,2023383,1336948,1202989,419928,0.207537574448337,23.15,34.9,36.31,25
"East London Health and Care Partnership",50,2021-12-15,2.47565526517809,0.720301537165182,0.28838228624335,1351,7079,0.839739027283511,7.90824161257063,91.8044237409319,0.00611625033031617,8356.80308314732,6.67563291959336e-06,3436.615234375,2023383,1345929,1211678,552496,0.273055570794061,35.45,41.8157142857143,44.2185714285714,25
"Frimley Health",47,2021-11-24,4.31132280939987,4.23154740671021,1.29835097246719,68,0,0,4.19345724582672,81.5685424804688,0.00418529260371413,15674.9287109375,6.21562988598612e-05,863.623229980469,793673,464399,421319,152431,0.192057686225939,23.15,34.3357142857143,35.6742857142857,25
"Frimley Health",48,2021-12-01,6.63641751407782,3.37626800172749,0.517769099671383,688,11,0.0157367668097282,5.45231112412044,85.081795828683,0.00477928568476013,12971.0994698661,6.76145090068303e-05,863.623229980469,793673,466047,423704,177895,0.22414142852283,23.15,34.9,36.31,25
"Frimley Health",49,2021-12-08,4.39382341727727,1.87347186248658,0.432489952629508,677,128,0.159006211180124,6.71056774684361,83.9911924089704,0.00503234299165862,9627.76869419643,0.000158218195533014,863.623229980469,793673,467494,426082,206249,0.259866468936199,23.15,34.9,36.31,25
"Frimley Health",50,2021-12-15,4.85568541189903,1.60225722947933,0.332465547180232,300,629,0.677072120559742,7.97271013259888,91.5576836722238,0.00615163712895342,8367.64055524554,7.12386037905942e-06,863.623229980469,793673,469477,428818,259135,0.326500964503013,35.45,41.8157142857143,44.2185714285714,25
"Gloucestershire",47,2021-11-24,5.74286315185361,4.18125232179153,1.09398782086453,119,0,0,4.3071528843471,81.5858840942383,0.0041993224793779,15568.2834821429,5.80190879746161e-05,268.906433105469,637070,507009,470334,200960,0.315444142715871,23.15,34.3357142857143,35.6742857142857,25
"Gloucestershire",48,2021-12-01,6.77545584095896,4.87383208633375,0.743366485890228,1428,13,0.00902151283830673,5.71916077818189,84.9722638811384,0.0047763795924506,12994.5537109375,7.54932361815008e-05,268.906433105469,637070,508394,472751,233373,0.366322382155807,23.15,34.9,36.31,25
"Gloucestershire",49,2021-12-08,4.99782110364511,2.50410112038291,0.487853962741707,888,64,0.0672268907563025,6.93248701095581,84.1737659999302,0.00503636989742517,8101.40053013393,0.00013156370921154,268.906433105469,637070,510105,474681,266931,0.418997912317328,23.15,34.9,36.31,25
"Gloucestershire",50,2021-12-15,3.80305715153034,1.14327936293333,0.294187612081082,737,735,0.499320652173913,7.85945010185242,92.3449205671038,0.00616997327389462,7708.17752511161,9.36439651663282e-06,268.906433105469,637070,512522,477591,341252,0.535658561853485,35.45,41.8157142857143,44.2185714285714,25
