"area","epiweek","delta_Rt","alpha_Rt","Ratio","alpha_cases","delta_cases","delta_proportion","temperature","relative_humidity","specific_humidity","uv","precipitation","Pop_density","Population","first_dose","second_dose","full_vax","full_vax_rate","stringency","gov_response","containment_health","economic_support","stringency_lag1","stringency_lag2","gov_response_lag1","gov_response_lag2","containment_health_lag1","containment_health_lag2","economic_support_lag1","economic_support_lag2"
"Cambridgeshire and Peterborough",21,1.4334210644195,0.720688717063466,1.97981727331933,29,22,0.431372549019608,10.860279083252,74.7632631574358,0.00598405361441629,89482.1462053571,6.58026966856732e-05,231.990753173828,969845,567524,370747,370747,0.382274487160319,58.33,68.54,64.05,100,58.33,63.89,68.54,71.67,64.05,67.62,100,100
"Cambridgeshire and Peterborough",22,1.62969884675117,0.724733259638451,2.22933508431545,19,64,0.771084337349398,15.763527733939,69.2054857526507,0.00756577156218035,98486.6216517857,5.89941816997452e-05,231.990753173828,969845,585678,405638,405638,0.418250338971691,58.33,68.54,64.05,100,58.33,58.33,68.54,68.54,64.05,64.05,100,100
"Cambridgeshire and Peterborough",23,1.71548411528304,0.721444361268558,2.37002527423659,15,129,0.895833333333333,17.4703840528216,67.0984268188477,0.00828754582575389,100630.685267857,2.22373849315513e-06,231.990753173828,969845,605522,431500,431500,0.444916455722306,58.33,68.54,64.05,100,58.33,58.33,68.54,68.54,64.05,64.05,100,100
"Cambridgeshire and Peterborough",24,1.74127007457599,0.721759427558129,2.40116471446939,13,254,0.951310861423221,15.6351639883859,76.7175592694964,0.00840655521356634,77228.6297433036,0.000314302918318227,231.990753173828,969845,629986,448548,448548,0.462494522320577,55.1585714285714,67.2928571428571,62.6185714285714,100,58.33,58.33,68.54,68.54,64.05,64.05,100,100
"Cambridgeshire and Peterborough",25,1.76716292023193,0.747473054554569,2.3475504976349,4,481,0.991752577319588,13.600449017116,78.752819606236,0.00766260682472161,80809.0122767857,6.96939244205298e-05,231.990753173828,969845,656160,464695,464695,0.479143574488707,52.78,66.67,61.9,100,55.1585714285714,58.33,67.2928571428571,68.54,62.6185714285714,64.05,100,100
"Cambridgeshire and Peterborough",26,1.81040080276193,0.771540654788087,2.3172648007699,6,902,0.993392070484581,14.9200707844325,84.1621715000698,0.00889913451724819,70236.5092075893,0.000163061514245198,231.990753173828,969845,669255,482006,482006,0.49699281844006,52.78,66.67,61.9,100,52.78,55.1585714285714,66.67,67.2928571428571,61.9,62.6185714285714,100,100
"Cheshire and Merseyside",18,1.26614557493558,0.829512294717334,1.55904857626263,85,107,0.557291666666667,7.88240364619664,78.6929452078683,0.00520259670780173,71422.8515625,0.000319009725249738,1011.20953369141,2496557,1383286,745297,745297,0.29852993542707,63.89,71.67,67.62,100,63.89,63.89,71.67,71.67,67.62,67.62,100,100
"Cheshire and Merseyside",19,1.61922221819266,0.833700958325688,1.95524292568568,118,55,0.317919075144509,10.3136509486607,79.7592599051339,0.00601762998849154,83248.7661830357,0.000174347248373254,1011.20953369141,2496557,1429488,852951,852951,0.341650921649295,63.89,71.67,67.62,100,63.89,63.89,71.67,71.67,67.62,67.62,100,100
"Cheshire and Merseyside",20,2.50362863362517,0.929421254433522,2.66472533196822,44,67,0.603603603603604,9.76530769893101,79.5677119663784,0.00588472606614232,74190.4048549107,0.000277048063123532,1011.20953369141,2496557,1479020,950687,950687,0.380799236708795,58.33,68.54,64.05,100,63.89,63.89,71.67,71.67,67.62,67.62,100,100
"Cheshire and Merseyside",21,2.31634555198234,0.889152875889574,2.59205151238974,40,436,0.915966386554622,11.4132074628557,72.4943002973284,0.00599066726863384,86731.2087053571,5.6610113347233e-05,1011.20953369141,2496557,1515650,1042674,1042674,0.417644780391555,58.33,68.54,64.05,100,58.33,63.89,68.54,71.67,64.05,67.62,100,100
"Cheshire and Merseyside",22,1.64297384452237,0.770870275053809,2.13774709364857,66,1172,0.946688206785137,14.835501398359,69.8646790640695,0.00728864581989391,103852.830915179,3.52480053637448e-05,1011.20953369141,2496557,1543057,1117569,1117569,0.447644095448251,58.33,68.54,64.05,100,58.33,58.33,68.54,68.54,64.05,64.05,100,100
"Cheshire and Merseyside",23,1.54609223793579,0.743398690075362,2.08267367686372,47,1889,0.975723140495868,15.5479987008231,73.9319109235491,0.00816282789622034,96863.4185267857,1.59061263127163e-05,1011.20953369141,2496557,1576565,1188533,1188533,0.476068842009215,58.33,68.54,64.05,100,58.33,58.33,68.54,68.54,64.05,64.05,100,100
"Cheshire and Merseyside",24,1.44700316732269,0.729369636630218,1.98649011273081,25,3129,0.992073557387445,14.2709621701922,73.2777404785156,0.00738584483042359,87182.9291294643,5.87813167745667e-05,1011.20953369141,2496557,1618514,1247309,1247309,0.499611665185293,55.1585714285714,67.2928571428571,62.6185714285714,100,58.33,58.33,68.54,68.54,64.05,64.05,100,100
"Cheshire and Merseyside",25,1.47949145121842,0.74856075939263,1.98118659466629,23,4644,0.995071780587101,12.8663997650146,78.9769515991211,0.00732746999710798,71133.9988839286,0.000150186983643964,1011.20953369141,2496557,1670923,1287551,1287551,0.515730664270834,52.78,66.67,61.9,100,55.1585714285714,58.33,67.2928571428571,68.54,62.6185714285714,64.05,100,100
"Cheshire and Merseyside",26,1.52030809047144,0.776309208381751,1.97775636899786,12,7125,0.998318621269441,15.5380747658866,83.0578624180385,0.00902542006224394,79340.5345982143,0.000198422769634427,1011.20953369141,2496557,1704614,1324268,1324268,0.530437718826368,52.78,66.67,61.9,100,52.78,55.1585714285714,66.67,67.2928571428571,61.9,62.6185714285714,100,100
"Cornwall and the Isles of Scilly",18,0.0405564828550422,0.0125840067127379,3.32808607416085,NA,NA,NA,9.293792452131,73.8144820077079,0.00547964458486864,75304.4734933036,0.000223090029976447,162.641036987305,571802,NA,NA,NA,NA,63.89,71.67,67.62,100,63.89,63.89,71.67,71.67,67.62,67.62,100,100
"Cornwall and the Isles of Scilly",19,0.0294166022286868,0.0059710509921699,5.04885781462888,NA,NA,NA,9.97795827048165,82.4808349609375,0.00626777185659323,84645.3376116071,0.000269228775453355,162.641036987305,571802,NA,NA,NA,NA,63.89,71.67,67.62,100,63.89,63.89,71.67,71.67,67.62,67.62,100,100
"Cornwall and the Isles of Scilly",20,0.034321240676687,0.00643986555039931,5.43485608227848,NA,NA,NA,9.99576582227435,82.222174508231,0.00628033546464784,83022.5345982143,0.000295309668997236,162.641036987305,571802,NA,NA,NA,NA,58.33,68.54,64.05,100,63.89,63.89,71.67,71.67,67.62,67.62,100,100
"Cornwall and the Isles of Scilly",21,0.0865559432538283,0.0151180448665714,5.86583181623194,NA,NA,NA,11.2757103783744,76.3130547659738,0.00630155757867864,90003.8543526786,0.000115236967734031,162.641036987305,571802,NA,NA,NA,NA,58.33,68.54,64.05,100,58.33,63.89,68.54,71.67,64.05,67.62,100,100
"Cornwall and the Isles of Scilly",22,0.514106537496939,0.0718132559231377,6.99930927838901,0,26,1,13.6845715386527,77.7606391906738,0.00750980619341135,101521.946986607,5.9727895055037e-05,162.641036987305,571802,NA,NA,NA,NA,58.33,68.54,64.05,100,58.33,58.33,68.54,68.54,64.05,64.05,100,100
"Cornwall and the Isles of Scilly",23,6.05088047313578,0.634880923322934,9.39466520553863,303,0,0,13.8823400224958,84.7713960920061,0.00839425909465977,95019.4068080357,9.60112000480962e-06,162.641036987305,571802,NA,NA,NA,NA,58.33,68.54,64.05,100,58.33,58.33,68.54,68.54,64.05,64.05,100,100
"Cornwall and the Isles of Scilly",24,1.19457672029406,0.276653946143247,4.21535861152932,0,587,1,14.322628566197,81.1490816388811,0.00826440551983459,99834.5926339286,5.86627449554733e-05,162.641036987305,571802,NA,NA,NA,NA,55.1585714285714,67.2928571428571,62.6185714285714,100,58.33,58.33,68.54,68.54,64.05,64.05,100,100
"Cornwall and the Isles of Scilly",25,0.562210310868091,0.415200694641237,1.39753465529635,0,630,1,13.3292184557234,81.5076392037528,0.00781374298302191,86903.6344866071,0.000247994638600955,162.641036987305,571802,NA,NA,NA,NA,52.78,66.67,61.9,100,55.1585714285714,58.33,67.2928571428571,68.54,62.6185714285714,64.05,100,100
"Cornwall and the Isles of Scilly",26,0.157004374141701,0.507632244391468,0.35141238560244,0,743,1,15.0977642876761,86.6603273664202,0.00925659308476108,90367.1462053571,0.00026564295434842,162.641036987305,571802,NA,NA,NA,NA,52.78,66.67,61.9,100,52.78,55.1585714285714,66.67,67.2928571428571,61.9,62.6185714285714,100,100
"Coventry and Warwickshire",18,1.04541561915388,0.749698939750701,1.40589792668385,108,11,0.092436974789916,8.55149664197649,76.233754839216,0.00528358917550317,70850.7772042411,0.000211283824293267,544.5615234375,949454,488010,258029,258029,0.271765667425699,63.89,71.67,67.62,100,63.89,63.89,71.67,71.67,67.62,67.62,100,100
"Coventry and Warwickshire",19,1.17355289339544,0.710169327235794,1.65649793286769,54,21,0.28,10.4460773468018,80.6306577410017,0.00611917647932257,78482.5279017857,0.000175233138309393,544.5615234375,949454,506826,296087,296087,0.311849757860834,63.89,71.67,67.62,100,63.89,63.89,71.67,71.67,67.62,67.62,100,100
"Coventry and Warwickshire",20,1.40280734131083,0.719525337471576,1.94473030525153,21,38,0.644067796610169,10.1479643412999,78.7406191144671,0.00592036485405905,74602.9508928571,0.000252575318362298,544.5615234375,949454,524655,332291,332291,0.349981147059257,58.33,68.54,64.05,100,63.89,63.89,71.67,71.67,67.62,67.62,100,100
"Coventry and Warwickshire",21,1.65499242945609,0.738304662034393,2.2456194466921,13,64,0.831168831168831,11.5421709333147,71.7626102992466,0.00595195225573012,86063.1194196429,6.99338431462415e-05,544.5615234375,949454,541988,373766,373766,0.393664148026129,58.33,68.54,64.05,100,58.33,63.89,68.54,71.67,64.05,67.62,100,100
"Coventry and Warwickshire",22,1.75552104364716,0.728049254834095,2.40272691652815,27,163,0.857894736842105,15.6329367501395,70.0112539018903,0.00759711309469172,101826.977678571,1.81951128831618e-05,544.5615234375,949454,554758,402187,402187,0.423598194330636,58.33,68.54,64.05,100,58.33,58.33,68.54,68.54,64.05,64.05,100,100
"Coventry and Warwickshire",23,1.80847965358262,0.723326572045091,2.49140446530699,14,309,0.956656346749226,16.5304643086025,71.7394654410226,0.00837537460029125,95340.7712053571,5.6035741127225e-06,544.5615234375,949454,569218,426248,426248,0.448940127694443,58.33,68.54,64.05,100,58.33,58.33,68.54,68.54,64.05,64.05,100,100
